Generation,MeanFitness,StdDevFitness,MaxFitness
1,9.60473774,29.98625759,89.40283177
2,38.15196144,41.67964573,90.23466846
3,39.31522423,39.821287,90.47302464
4,36.3115449,37.29520218,90.52626786
5,33.66017292,35.96961457,90.73968822
6,48.50627232,34.44303726,90.95642023
7,63.1664136,31.09242296,91.09968822
8,69.09297772,28.64385569,91.13642023
9,69.70799386,27.91137833,91.13302464
10,71.87147272,25.844263,91.31642023
11,60.60887159,33.47122188,91.13642023
12,60.94174728,33.46949242,91.20283177
13,58.28970727,30.16271722,91.20667673
14,60.9408472,30.25048426,91.15968822
15,67.24241691,27.69780392,91.19302464
16,58.71528226,31.9441207,91.43874179
17,45.28817577,35.62166326,91.34661051
18,42.55730347,34.86077969,91.40661051
19,56.47014939,31.81258458,91.57873645
20,45.9615191,37.48255661,91.58772933
21,58.1263919,36.1351623,92.12355804
22,57.38631596,34.75327635,91.41282823
23,59.51617069,30.72171282,91.75669509
24,58.18314307,30.86438311,91.21357331
25,67.16234066,29.47693379,92.11669509
26,61.82238977,34.39096382,92.12355804
27,60.55115409,31.92075699,92.05669509
28,65.51469542,27.91149472,92.46188001
29,70.55754385,30.45107372,91.15968822
30,61.92726952,35.23283103,92.25282823
